title,number,score,platform,release_date,web_page
Tengami,1,9.7,Wii U,"November 13, 2014",https://www.metacritic.com/game/wii-u/tengami
Rochard,2,9.7,PlayStation 3,"September 27, 2011",https://www.metacritic.com/game/playstation-3/rochard
Ghost Trick: Phantom Detective,3,9.7,DS,"January 11, 2011",https://www.metacritic.com/game/ds/ghost-trick-phantom-detective
Z.H.P. Unlosing Ranger vs Darkdeath Evilman,4,9.7,PSP,"October 25, 2010",https://www.metacritic.com/game/psp/zhp-unlosing-ranger-vs-darkdeath-evilman
Metal Torrent,5,9.7,DS,"May 24, 2010",https://www.metacritic.com/game/ds/metal-torrent
After Burner Climax,6,9.7,Xbox 360,"April 21, 2010",https://www.metacritic.com/game/xbox-360/after-burner-climax
GrimGrimoire,7,9.7,PlayStation 2,"June 26, 2007",https://www.metacritic.com/game/playstation-2/grimgrimoire
Superliminal,8,9.6,Xbox One,"July 7, 2020",https://www.metacritic.com/game/xbox-one/superliminal
Superliminal,9,9.6,Switch,"July 7, 2020",https://www.metacritic.com/game/switch/superliminal
Crystar,10,9.6,PlayStation 4,"August 27, 2019",https://www.metacritic.com/game/playstation-4/crystar
Diaries of a Spaceport Janitor,11,9.6,PC,"September 16, 2016",https://www.metacritic.com/game/pc/diaries-of-a-spaceport-janitor
The Witcher 3: Wild Hunt,12,9.4,PC,"May 18, 2015",https://www.metacritic.com/game/pc/the-witcher-3-wild-hunt
Astro's Playroom,13,9.3,PlayStation 5,"November 12, 2020",https://www.metacritic.com/game/playstation-5/astros-playroom
The Witcher 3: Wild Hunt - Blood and Wine,14,9.3,PC,"May 30, 2016",https://www.metacritic.com/game/pc/the-witcher-3-wild-hunt---blood-and-wine
The Orange Box,15,9.3,PC,"October 10, 2007",https://www.metacritic.com/game/pc/the-orange-box
Tales of Arise,16,9.2,PlayStation 5,"September 10, 2021",https://www.metacritic.com/game/playstation-5/tales-of-arise
It Takes Two,17,9.2,PlayStation 5,"March 26, 2021",https://www.metacritic.com/game/playstation-5/it-takes-two
Half-Life: Alyx,18,9.2,PC,"March 23, 2020",https://www.metacritic.com/game/pc/half-life-alyx
God of War,19,9.2,PlayStation 4,"April 20, 2018",https://www.metacritic.com/game/playstation-4/god-of-war
The Witcher 3: Wild Hunt,20,9.2,PlayStation 4,"May 19, 2015",https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt
The Witcher 3: Wild Hunt,21,9.2,Xbox One,"May 19, 2015",https://www.metacritic.com/game/xbox-one/the-witcher-3-wild-hunt
The Last of Us Remastered,22,9.2,PlayStation 4,"July 29, 2014",https://www.metacritic.com/game/playstation-4/the-last-of-us-remastered
The Last of Us,23,9.2,PlayStation 3,"June 14, 2013",https://www.metacritic.com/game/playstation-3/the-last-of-us
Vanquish,24,9.2,Xbox 360,"October 19, 2010",https://www.metacritic.com/game/xbox-360/vanquish
Pokemon SoulSilver Version,25,9.2,DS,"March 14, 2010",https://www.metacritic.com/game/ds/pokemon-soulsilver-version
Half-Life 2: Episode Two,26,9.2,PC,"October 10, 2007",https://www.metacritic.com/game/pc/half-life-2-episode-two
Portal,27,9.2,PC,"October 10, 2007",https://www.metacritic.com/game/pc/portal
Resident Evil 4,28,9.2,GameCube,"January 11, 2005",https://www.metacritic.com/game/gamecube/resident-evil-4
Half-Life 2,29,9.2,PC,"November 16, 2004",https://www.metacritic.com/game/pc/half-life-2
Warcraft III: The Frozen Throne,30,9.2,PC,"July 1, 2003",https://www.metacritic.com/game/pc/warcraft-iii-the-frozen-throne
Mafia,31,9.2,PC,"August 27, 2002",https://www.metacritic.com/game/pc/mafia
Warcraft III: Reign of Chaos,32,9.2,PC,"July 3, 2002",https://www.metacritic.com/game/pc/warcraft-iii-reign-of-chaos
Resident Evil (2002),33,9.2,GameCube,"April 30, 2002",https://www.metacritic.com/game/gamecube/resident-evil-2002
Silent Hill 2,34,9.2,PlayStation 2,"September 24, 2001",https://www.metacritic.com/game/playstation-2/silent-hill-2
Resident Evil 2,35,9.2,Dreamcast,"December 6, 2000",https://www.metacritic.com/game/dreamcast/resident-evil-2
Counter-Strike,36,9.2,PC,"November 8, 2000",https://www.metacritic.com/game/pc/counter-strike
Deus Ex,37,9.2,PC,"June 23, 2000",https://www.metacritic.com/game/pc/deus-ex
Planescape: Torment,38,9.2,PC,"December 14, 1999",https://www.metacritic.com/game/pc/planescape-torment
Suikoden II,39,9.2,PlayStation,"August 31, 1999",https://www.metacritic.com/game/playstation/suikoden-ii
Fallout 2,40,9.2,PC,"October 29, 1998",https://www.metacritic.com/game/pc/fallout-2
Metal Gear Solid,41,9.2,PlayStation,"October 21, 1998",https://www.metacritic.com/game/playstation/metal-gear-solid
Xenogears,42,9.2,PlayStation,"October 20, 1998",https://www.metacritic.com/game/playstation/xenogears
Resident Evil 2,43,9.2,PlayStation,"January 21, 1998",https://www.metacritic.com/game/playstation/resident-evil-2
Castlevania: Symphony of the Night,44,9.2,PlayStation,"October 2, 1997",https://www.metacritic.com/game/playstation/castlevania-symphony-of-the-night
Dodgeball Academia,45,9.1,Switch,"August 5, 2021",https://www.metacritic.com/game/switch/dodgeball-academia
It Takes Two,46,9.1,PlayStation 4,"March 26, 2021",https://www.metacritic.com/game/playstation-4/it-takes-two
13 Sentinels: Aegis Rim,47,9.1,PlayStation 4,"September 22, 2020",https://www.metacritic.com/game/playstation-4/13-sentinels-aegis-rim
Factorio,48,9.1,PC,"August 14, 2020",https://www.metacritic.com/game/pc/factorio
Ghost of Tsushima,49,9.1,PlayStation 4,"July 17, 2020",https://www.metacritic.com/game/playstation-4/ghost-of-tsushima
Final Fantasy XIV: Shadowbringers,50,9.1,PC,"July 2, 2019",https://www.metacritic.com/game/pc/final-fantasy-xiv-shadowbringers
The Witcher 3: Wild Hunt - Blood and Wine,51,9.1,PlayStation 4,"May 30, 2016",https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt---blood-and-wine
Xenoblade Chronicles X,52,9.1,Wii U,"December 4, 2015",https://www.metacritic.com/game/wii-u/xenoblade-chronicles-x
The Witcher 3: Wild Hunt - Hearts of Stone,53,9.1,PC,"October 13, 2015",https://www.metacritic.com/game/pc/the-witcher-3-wild-hunt---hearts-of-stone
Xenoblade Chronicles,54,9.1,Wii,"April 6, 2012",https://www.metacritic.com/game/wii/xenoblade-chronicles
Portal 2,55,9.1,PC,"April 18, 2011",https://www.metacritic.com/game/pc/portal-2
Vanquish,56,9.1,PlayStation 3,"October 19, 2010",https://www.metacritic.com/game/playstation-3/vanquish
Super Mario Galaxy 2,57,9.1,Wii,"May 23, 2010",https://www.metacritic.com/game/wii/super-mario-galaxy-2
Pokemon HeartGold Version,58,9.1,DS,"March 14, 2010",https://www.metacritic.com/game/ds/pokemon-heartgold-version
Chrono Trigger,59,9.1,DS,"November 25, 2008",https://www.metacritic.com/game/ds/chrono-trigger
Super Mario Galaxy,60,9.1,Wii,"November 12, 2007",https://www.metacritic.com/game/wii/super-mario-galaxy
Final Fantasy Tactics: The War of the Lions,61,9.1,PSP,"October 9, 2007",https://www.metacritic.com/game/psp/final-fantasy-tactics-the-war-of-the-lions
God Hand,62,9.1,PlayStation 2,"October 10, 2006",https://www.metacritic.com/game/playstation-2/god-hand
Okami,63,9.1,PlayStation 2,"September 19, 2006",https://www.metacritic.com/game/playstation-2/okami
Metal Gear Solid 3: Subsistence,64,9.1,PlayStation 2,"March 14, 2006",https://www.metacritic.com/game/playstation-2/metal-gear-solid-3-subsistence
Devil May Cry 3: Special Edition,65,9.1,PlayStation 2,"January 24, 2006",https://www.metacritic.com/game/playstation-2/devil-may-cry-3-special-edition
Shadow of the Colossus,66,9.1,PlayStation 2,"October 18, 2005",https://www.metacritic.com/game/playstation-2/shadow-of-the-colossus
Tom Clancy's Splinter Cell Chaos Theory,67,9.1,Xbox,"March 28, 2005",https://www.metacritic.com/game/xbox/tom-clancys-splinter-cell-chaos-theory
Devil May Cry 3: Dante's Awakening,68,9.1,PlayStation 2,"March 1, 2005",https://www.metacritic.com/game/playstation-2/devil-may-cry-3-dantes-awakening
Metal Gear Solid 3: Snake Eater,69,9.1,PlayStation 2,"November 17, 2004",https://www.metacritic.com/game/playstation-2/metal-gear-solid-3-snake-eater
Grand Theft Auto: San Andreas,70,9.1,PlayStation 2,"October 26, 2004",https://www.metacritic.com/game/playstation-2/grand-theft-auto-san-andreas
Paper Mario: The Thousand-Year Door,71,9.1,GameCube,"October 11, 2004",https://www.metacritic.com/game/gamecube/paper-mario-the-thousand-year-door
Star Wars: Knights of the Old Republic,72,9.1,Xbox,"July 17, 2003",https://www.metacritic.com/game/xbox/star-wars-knights-of-the-old-republic
Day of Defeat,73,9.1,PC,"May 6, 2003",https://www.metacritic.com/game/pc/day-of-defeat
Metroid Fusion,74,9.1,Game Boy Advance,"November 17, 2002",https://www.metacritic.com/game/game-boy-advance/metroid-fusion
Super Smash Bros. Melee,75,9.1,GameCube,"December 2, 2001",https://www.metacritic.com/game/gamecube/super-smash-bros-melee
Shenmue II,76,9.1,Dreamcast,"November 23, 2001",https://www.metacritic.com/game/dreamcast/shenmue-ii
Max Payne,77,9.1,PC,"July 23, 2001",https://www.metacritic.com/game/pc/max-payne
Diablo II: Lord of Destruction,78,9.1,PC,"June 27, 2001",https://www.metacritic.com/game/pc/diablo-ii-lord-of-destruction
The Legend of Zelda: Majora's Mask,79,9.1,Nintendo 64,"October 25, 2000",https://www.metacritic.com/game/nintendo-64/the-legend-of-zelda-majoras-mask
Baldur's Gate II: Shadows of Amn,80,9.1,PC,"September 24, 2000",https://www.metacritic.com/game/pc/baldurs-gate-ii-shadows-of-amn
Age of Empires II: The Conquerors Expansion,81,9.1,PC,"August 24, 2000",https://www.metacritic.com/game/pc/age-of-empires-ii-the-conquerors-expansion
System Shock 2,82,9.1,PC,"August 11, 1999",https://www.metacritic.com/game/pc/system-shock-2
The Legend of Zelda: Ocarina of Time,83,9.1,Nintendo 64,"November 23, 1998",https://www.metacritic.com/game/nintendo-64/the-legend-of-zelda-ocarina-of-time
Half-Life,84,9.1,PC,"November 19, 1998",https://www.metacritic.com/game/pc/half-life
Grim Fandango,85,9.1,PC,"October 14, 1998",https://www.metacritic.com/game/pc/grim-fandango
Banjo-Kazooie,86,9.1,Nintendo 64,"May 31, 1998",https://www.metacritic.com/game/nintendo-64/banjo-kazooie
Tekken 3,87,9.1,PlayStation,"April 29, 1998",https://www.metacritic.com/game/playstation/tekken-3
Starcraft,88,9.1,PC,"March 31, 1998",https://www.metacritic.com/game/pc/starcraft
Final Fantasy Tactics,89,9.1,PlayStation,"January 28, 1998",https://www.metacritic.com/game/playstation/final-fantasy-tactics
Riven: The Sequel to Myst,90,9.1,PC,"October 31, 1997",https://www.metacritic.com/game/pc/riven-the-sequel-to-myst
Final Fantasy VII,91,9.1,PlayStation,"September 3, 1997",https://www.metacritic.com/game/playstation/final-fantasy-vii
Super Mario 64,92,9.1,Nintendo 64,"September 26, 1996",https://www.metacritic.com/game/nintendo-64/super-mario-64
Resident Evil,93,9.1,PlayStation,"March 30, 1996",https://www.metacritic.com/game/playstation/resident-evil
Lost Judgment,94,9.0,PlayStation 5,"September 24, 2021",https://www.metacritic.com/game/playstation-5/lost-judgment
It Takes Two,95,9.0,PC,"March 26, 2021",https://www.metacritic.com/game/pc/it-takes-two
Monster Hunter Rise,96,9.0,Switch,"March 26, 2021",https://www.metacritic.com/game/switch/monster-hunter-rise
Hades,97,9.0,Switch,"September 17, 2020",https://www.metacritic.com/game/switch/hades
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,98,9.0,PlayStation 4,"June 23, 2020",https://www.metacritic.com/game/playstation-4/spongebob-squarepants-battle-for-bikini-bottom---rehydrated
Xenoblade Chronicles: Definitive Edition,99,9.0,Switch,"May 29, 2020",https://www.metacritic.com/game/switch/xenoblade-chronicles-definitive-edition
DOOM Eternal,100,9.0,Xbox One,"March 19, 2020",https://www.metacritic.com/game/xbox-one/doom-eternal
Astral Chain,101,9.0,Switch,"August 30, 2019",https://www.metacritic.com/game/switch/astral-chain
Resident Evil 2,102,9.0,PC,"January 25, 2019",https://www.metacritic.com/game/pc/resident-evil-2
NieR: Automata - Become as Gods Edition,103,9.0,Xbox One,"June 26, 2018",https://www.metacritic.com/game/xbox-one/nier-automata---become-as-gods-edition
Hollow Knight,104,9.0,Switch,"June 12, 2018",https://www.metacritic.com/game/switch/hollow-knight
The Evil Within 2,105,9.0,Xbox One,"October 13, 2017",https://www.metacritic.com/game/xbox-one/the-evil-within-2
Hollow Knight,106,9.0,PC,"February 24, 2017",https://www.metacritic.com/game/pc/hollow-knight
The Witcher 3: Wild Hunt - Hearts of Stone,107,9.0,PlayStation 4,"October 12, 2015",https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt---hearts-of-stone
The Legend of Zelda: A Link Between Worlds,108,9.0,3DS,"November 22, 2013",https://www.metacritic.com/game/3ds/the-legend-of-zelda-a-link-between-worlds
The Legend of Zelda: The Wind Waker HD,109,9.0,Wii U,"September 20, 2013",https://www.metacritic.com/game/wii-u/the-legend-of-zelda-the-wind-waker-hd
Fire Emblem: Awakening,110,9.0,3DS,"February 4, 2013",https://www.metacritic.com/game/3ds/fire-emblem-awakening
Okami HD,111,9.0,PlayStation 3,"October 30, 2012",https://www.metacritic.com/game/playstation-3/okami-hd
The Legend of Zelda: Ocarina of Time 3D,112,9.0,3DS,"June 19, 2011",https://www.metacritic.com/game/3ds/the-legend-of-zelda-ocarina-of-time-3d
Red Dead Redemption,113,9.0,Xbox 360,"May 18, 2010",https://www.metacritic.com/game/xbox-360/red-dead-redemption
Pokemon Mystery Dungeon: Explorers of Sky,114,9.0,DS,"October 12, 2009",https://www.metacritic.com/game/ds/pokemon-mystery-dungeon-explorers-of-sky
Metroid Prime Trilogy,115,9.0,Wii,"August 24, 2009",https://www.metacritic.com/game/wii/metroid-prime-trilogy
Left 4 Dead,116,9.0,PC,"November 17, 2008",https://www.metacritic.com/game/pc/left-4-dead
Dragon Ball Z: Budokai Tenkaichi 3,117,9.0,PlayStation 2,"November 13, 2007",https://www.metacritic.com/game/playstation-2/dragon-ball-z-budokai-tenkaichi-3
Phoenix Wright: Ace Attorney - Trials and Tribulations,118,9.0,DS,"October 23, 2007",https://www.metacritic.com/game/ds/phoenix-wright-ace-attorney---trials-and-tribulations
Team Fortress 2,119,9.0,PC,"October 10, 2007",https://www.metacritic.com/game/pc/team-fortress-2
The Orange Box,120,9.0,Xbox 360,"October 10, 2007",https://www.metacritic.com/game/xbox-360/the-orange-box
God of War II,121,9.0,PlayStation 2,"March 13, 2007",https://www.metacritic.com/game/playstation-2/god-of-war-ii
The Legend of Zelda: Twilight Princess,122,9.0,Wii,"November 19, 2006",https://www.metacritic.com/game/wii/the-legend-of-zelda-twilight-princess
Medieval II: Total War,123,9.0,PC,"November 13, 2006",https://www.metacritic.com/game/pc/medieval-ii-total-war
Kingdom Hearts II,124,9.0,PlayStation 2,"March 28, 2006",https://www.metacritic.com/game/playstation-2/kingdom-hearts-ii
Star Wars: Battlefront II (2005),125,9.0,PlayStation 2,"November 1, 2005",https://www.metacritic.com/game/playstation-2/star-wars-battlefront-ii-2005
Resident Evil 4,126,9.0,PlayStation 2,"October 25, 2005",https://www.metacritic.com/game/playstation-2/resident-evil-4
Phoenix Wright: Ace Attorney,127,9.0,DS,"October 12, 2005",https://www.metacritic.com/game/ds/phoenix-wright-ace-attorney
Day of Defeat: Source,128,9.0,PC,"September 26, 2005",https://www.metacritic.com/game/pc/day-of-defeat-source
Ratchet & Clank: Up Your Arsenal,129,9.0,PlayStation 2,"November 3, 2004",https://www.metacritic.com/game/playstation-2/ratchet-clank-up-your-arsenal
Rome: Total War,130,9.0,PC,"September 22, 2004",https://www.metacritic.com/game/pc/rome-total-war
Sly 2: Band of Thieves,131,9.0,PlayStation 2,"September 14, 2004",https://www.metacritic.com/game/playstation-2/sly-2-band-of-thieves
Burnout 3: Takedown,132,9.0,PlayStation 2,"September 7, 2004",https://www.metacritic.com/game/playstation-2/burnout-3-takedown
Pikmin 2,133,9.0,GameCube,"August 30, 2004",https://www.metacritic.com/game/gamecube/pikmin-2
Tales of Symphonia,134,9.0,GameCube,"July 13, 2004",https://www.metacritic.com/game/gamecube/tales-of-symphonia
Star Wars: Knights of the Old Republic,135,9.0,PC,"November 18, 2003",https://www.metacritic.com/game/pc/star-wars-knights-of-the-old-republic
Fire Emblem,136,9.0,Game Boy Advance,"November 3, 2003",https://www.metacritic.com/game/game-boy-advance/fire-emblem
Gothic II,137,9.0,PC,"October 28, 2003",https://www.metacritic.com/game/pc/gothic-ii
Final Fantasy Tactics Advance,138,9.0,Game Boy Advance,"September 8, 2003",https://www.metacritic.com/game/game-boy-advance/final-fantasy-tactics-advance
Dynasty Warriors 4,139,9.0,PlayStation 2,"March 25, 2003",https://www.metacritic.com/game/playstation-2/dynasty-warriors-4
The Legend of Zelda: The Wind Waker,140,9.0,GameCube,"March 24, 2003",https://www.metacritic.com/game/gamecube/the-legend-of-zelda-the-wind-waker
The Legend of Zelda: A Link to the Past,141,9.0,Game Boy Advance,"December 3, 2002",https://www.metacritic.com/game/game-boy-advance/the-legend-of-zelda-a-link-to-the-past
Super Mario World: Super Mario Advance 2,142,9.0,Game Boy Advance,"February 9, 2002",https://www.metacritic.com/game/game-boy-advance/super-mario-world-super-mario-advance-2
NFL 2K2,143,9.0,Xbox,"January 9, 2002",https://www.metacritic.com/game/xbox/nfl-2k2
Golden Sun,144,9.0,Game Boy Advance,"November 11, 2001",https://www.metacritic.com/game/game-boy-advance/golden-sun
Paper Mario,145,9.0,Nintendo 64,"February 5, 2001",https://www.metacritic.com/game/nintendo-64/paper-mario
Xtreme Sports,146,9.0,Dreamcast,"November 27, 2000",https://www.metacritic.com/game/dreamcast/xtreme-sports
Resident Evil 3: Nemesis,147,9.0,Dreamcast,"November 17, 2000",https://www.metacritic.com/game/dreamcast/resident-evil-3-nemesis
Final Fantasy IX,148,9.0,PlayStation,"November 13, 2000",https://www.metacritic.com/game/playstation/final-fantasy-ix
F1 Championship Season 2000,149,9.0,PlayStation,"September 30, 2000",https://www.metacritic.com/game/playstation/f1-championship-season-2000
Vagrant Story,150,9.0,PlayStation,"May 15, 2000",https://www.metacritic.com/game/playstation/vagrant-story
Gran Turismo 2,151,9.0,PlayStation,"November 30, 1999",https://www.metacritic.com/game/playstation/gran-turismo-2
Unreal Tournament (1999),152,9.0,PC,"November 30, 1999",https://www.metacritic.com/game/pc/unreal-tournament-1999
Age of Empires II: The Age of Kings,153,9.0,PC,"September 30, 1999",https://www.metacritic.com/game/pc/age-of-empires-ii-the-age-of-kings
Crash Team Racing,154,9.0,PlayStation,"September 30, 1999",https://www.metacritic.com/game/playstation/crash-team-racing
Legacy of Kain: Soul Reaver,155,9.0,PlayStation,"August 16, 1999",https://www.metacritic.com/game/playstation/legacy-of-kain-soul-reaver
Thief: The Dark Project,156,9.0,PC,"November 30, 1998",https://www.metacritic.com/game/pc/thief-the-dark-project
Crash Bandicoot 3: Warped,157,9.0,PlayStation,"October 31, 1998",https://www.metacritic.com/game/playstation/crash-bandicoot-3-warped
Parasite Eve,158,9.0,PlayStation,"September 9, 1998",https://www.metacritic.com/game/playstation/parasite-eve
The Curse of Monkey Island,159,9.0,PC,"October 31, 1997",https://www.metacritic.com/game/pc/the-curse-of-monkey-island
GoldenEye 007,160,9.0,Nintendo 64,"August 25, 1997",https://www.metacritic.com/game/nintendo-64/goldeneye-007
Hades,161,8.9,PC,"September 17, 2020",https://www.metacritic.com/game/pc/hades
Persona 4 Golden,162,8.9,PC,"June 13, 2020",https://www.metacritic.com/game/pc/persona-4-golden
DOOM Eternal,163,8.9,PlayStation 4,"March 20, 2020",https://www.metacritic.com/game/playstation-4/doom-eternal
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,164,8.9,Switch,"September 27, 2019",https://www.metacritic.com/game/switch/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition
AI: The Somnium Files,165,8.9,PlayStation 4,"September 17, 2019",https://www.metacritic.com/game/playstation-4/ai-the-somnium-files
Fire Emblem: Three Houses,166,8.9,Switch,"July 26, 2019",https://www.metacritic.com/game/switch/fire-emblem-three-houses
Katana ZERO,167,8.9,PC,"April 18, 2019",https://www.metacritic.com/game/pc/katana-zero
Resident Evil 2,168,8.9,PlayStation 4,"January 25, 2019",https://www.metacritic.com/game/playstation-4/resident-evil-2
RimWorld,169,8.9,PC,"October 17, 2018",https://www.metacritic.com/game/pc/rimworld
Astro Bot: Rescue Mission,170,8.9,PlayStation 4,"October 2, 2018",https://www.metacritic.com/game/playstation-4/astro-bot-rescue-mission
Super Mario Odyssey,171,8.9,Switch,"October 27, 2017",https://www.metacritic.com/game/switch/super-mario-odyssey
Kingdom Hearts HD I.5 + II.5 Remix,172,8.9,PlayStation 4,"March 28, 2017",https://www.metacritic.com/game/playstation-4/kingdom-hearts-hd-i5-+-ii5-remix
NieR: Automata,173,8.9,PlayStation 4,"March 7, 2017",https://www.metacritic.com/game/playstation-4/nier-automata
